user_id,frequency,total_spend,avg_order_value,recency_days,total_clicks,view_clicks,cart_clicks,purchase_clicks,campaign_clicks,triggered_clicks
U005253,1,28.77,28.77,809,2,1,0,0,1,0
U001637,1,2289.11,2289.11,682,2,1,1,0,0,0
U005718,1,1145.95,1145.95,704,2,1,0,0,1,0
U004520,2,921.11,519.11,326,2,1,0,0,0,0
U000366,1,331.98,331.98,192,2,1,0,0,0,0
U006102,1,223.08,223.08,205,3,1,2,0,1,0
U002088,2,740.68,370.34,349,3,1,0,1,1,0
U009548,1,12.47,12.47,193,3,1,0,0,0,0
U007444,1,110.04,110.04,437,3,1,1,1,0,0
U000078,3,1951.3,708.63,186,3,1,2,0,2,1
U001609,1,197.07,197.07,389,3,1,2,0,3,0
U008574,2,3648.28,2379.11,307,3,1,1,0,1,1
U004067,1,15.79,15.79,742,3,1,2,0,0,0
U001320,1,108.38,108.38,628,3,1,0,2,1,0
U009852,1,729.28,729.28,196,3,1,1,1,2,0
U003811,2,397.46,169.31,577,3,1,2,0,0,0
U003047,1,1003.01,1003.01,734,3,1,2,0,0,0
U004866,1,5.28,5.28,307,3,1,1,1,0,0
U007463,1,74.06,74.06,207,3,1,0,1,1,0
U008532,2,817.23,504.71,350,3,1,1,0,0,0
U001926,1,2011.89,2011.89,473,3,1,2,0,3,2
U006414,4,216.71,53.77,364,3,1,0,1,1,0
U008000,1,351.48,351.48,686,3,1,0,1,1,0
U001153,3,1606.92,418.51,367,3,1,2,0,2,0
U008752,2,1013.95,841.44,310,3,1,2,0,0,0
U008686,1,1862.71,1862.71,627,3,1,0,0,0,0
U007437,1,9.49,9.49,270,3,1,0,1,0,0
U007596,3,738.42,344.34,436,3,1,1,1,1,0
U004264,1,239.13,239.13,600,3,1,2,0,2,0
U001501,1,254.76,254.76,595,3,1,2,0,2,1
U008073,1,1105.8,1105.8,183,3,1,1,1,0,0
U002206,1,250.41,250.41,419,3,1,1,0,1,0
U007476,1,377.51,377.51,849,3,1,1,0,0,0
U000479,2,951.74,314.5,355,3,1,1,0,2,0
U006647,1,1368.47,1368.47,388,3,1,2,0,3,0
U008377,1,2193.24,2193.24,644,3,1,1,0,1,0
U008185,2,1936.77,1475.61,528,3,1,2,0,2,0
U000649,1,158.32,158.32,816,4,1,2,0,3,0
U006499,1,256.55,256.55,636,4,1,1,1,1,0
U005584,1,69.57,69.57,294,4,1,2,0,2,0
U002792,1,23.28,23.28,593,4,1,1,0,2,0
U004838,1,275.3,275.3,356,4,1,1,1,1,0
U002695,2,1101.65,589.23,599,4,1,2,1,0,0
U004945,1,369.33,369.33,230,4,1,0,2,0,0
U000049,1,1821.99,1821.99,246,4,1,2,0,2,0
U005856,1,73.43,73.43,299,4,1,3,0,1,0
U004617,1,121.02,121.02,455,4,1,2,0,1,1
U001205,1,59.97,59.97,351,4,1,0,1,3,0
U006755,3,771.85,442.68,421,4,1,3,0,2,0
U000564,4,6799.17,2404.46,244,4,1,3,0,1,0
U003149,1,281.39,281.39,192,4,1,1,2,1,0
U003543,1,36.42,36.42,589,4,1,3,0,2,0
U003610,4,4908.65,2109.49,290,4,1,0,1,1,0
U005850,3,2438.39,969.98,586,4,1,2,1,3,0
U005473,1,1942.87,1942.87,470,4,1,1,1,2,0
U006049,2,3862.54,1658.95,541,4,1,0,2,2,0
U001216,2,2226.63,1573.06,506,4,1,1,0,2,0
U008581,1,510.98,510.98,347,4,1,0,2,2,0
U007969,1,179.45,179.45,266,4,1,2,1,0,0
U002150,2,248.16,120.61,505,4,1,3,0,1,0
U002981,1,1027.26,1027.26,440,4,1,2,0,0,0
U002238,1,313.53,313.53,843,4,1,2,0,2,0
U006918,1,31.7,31.7,753,4,1,3,0,1,0
U009195,1,128.46,128.46,261,4,1,2,0,1,0
U003124,2,344.23,203.03,177,4,1,3,0,0,0
U008819,1,219.5,219.5,591,4,1,2,1,1,0
U006592,1,2040.11,2040.11,466,4,1,3,0,0,0
U005276,2,2048.99,1024.49,334,4,1,1,0,2,0
U005845,2,2091.37,949.39,717,4,1,2,1,2,0
U001882,2,2697.19,1512.36,220,4,1,3,0,1,0
U003801,2,436.85,218.42,234,4,1,2,0,1,0
U005054,1,173.6,173.6,247,4,1,3,0,1,0
U007864,2,958.27,479.13,477,5,1,2,0,2,0
U002248,2,257.77,167.24,583,5,1,2,0,2,0
U007953,2,504.44,288.6,280,5,1,2,0,2,0
U000027,1,1125.55,1125.55,590,5,1,3,0,1,0
U004457,1,1511.11,1511.11,685,5,1,2,1,1,0
U009127,2,4323.84,3333.83,768,5,1,3,0,2,0
U003171,1,443.73,443.73,737,5,1,1,2,0,0
U004686,1,645.83,645.83,510,5,1,1,0,4,0
U003017,2,183.88,134.83,402,5,1,2,2,0,0
U001007,1,359.28,359.28,841,5,1,2,2,0,0
U003618,1,350.38,350.38,389,5,1,2,0,2,0
U007755,2,586.72,293.36,667,5,1,1,1,2,0
U000368,3,1614.02,881.83,234,5,1,0,1,3,1
U002361,1,47.18,47.18,420,5,1,1,0,1,0
U002858,1,1550.51,1550.51,662,5,1,3,0,2,0
U005237,2,2823.23,1514.34,181,5,1,3,1,1,0
U001022,1,324.65,324.65,755,5,1,3,0,0,0
U008883,3,402.51,149.01,531,5,1,2,1,2,0
U004015,1,688.02,688.02,182,5,1,1,1,3,0
U004753,1,103.43,103.43,444,5,1,2,1,1,0
U002020,2,178.6,86.88,335,5,1,3,1,2,0
U002878,3,1002.12,343.86,323,6,1,4,1,2,0
U000711,1,798.25,798.25,235,6,1,2,1,2,1
U002796,1,79.47,79.47,651,6,1,4,1,2,0
U000752,1,50.81,50.81,756,6,1,3,1,3,0
U005618,3,3837.63,1621.23,311,6,1,4,0,2,0
U004516,1,1973.04,1973.04,823,6,1,2,1,0,0
U001762,2,2320.38,1576.52,263,7,1,3,2,3,0
U004950,2,94.94,45.18,262,7,1,3,1,1,0
U001736,3,689.23,288.07,381,7,1,5,0,0,0
U009702,1,1553.26,1553.26,619,8,1,3,1,5,0
U002877,1,480.19,480.19,579,2,2,0,0,1,0
U000364,1,201.33,201.33,770,2,2,0,0,0,0
U000429,2,1646.21,787.44,272,2,2,0,0,1,0
U004308,2,593.05,394.95,634,2,2,0,0,1,0
U005391,1,140.73,140.73,210,2,2,0,0,1,0
U001074,1,30.77,30.77,701,2,2,0,0,1,0
U008601,2,608.29,387.31,370,2,2,0,0,2,0
U002672,1,1750.67,1750.67,579,2,2,0,0,0,0
U009242,2,1094.53,868.93,236,2,2,0,0,1,0
U008546,2,312.58,148.47,550,2,2,0,0,1,0
U006743,2,100.38,50.19,184,2,2,0,0,1,0
U004215,1,64.16,64.16,383,2,2,0,0,0,0
U000862,1,2368.55,2368.55,750,2,2,0,0,1,0
U005446,3,556.39,242.94,526,2,2,0,0,0,0
U003998,3,667.16,222.39,335,2,2,0,0,1,0
U005575,1,2548.48,2548.48,841,2,2,0,0,2,0
U003220,2,513.68,256.84,317,2,2,0,0,0,0
U008966,1,521,521,728,2,2,0,0,1,0
U003672,1,24.11,24.11,478,2,2,0,0,0,0
U004206,2,1873.56,849.08,180,2,2,0,0,0,0
U009924,2,159.92,79.96,280,2,2,0,0,0,0
U003471,2,127.07,78.37,550,2,2,0,0,0,0
U009699,1,411.46,411.46,770,2,2,0,0,0,0
U001880,1,1124.91,1124.91,819,2,2,0,0,1,0
U003588,1,105.48,105.48,388,2,2,0,0,0,0
U003827,2,2327.58,1093.16,523,2,2,0,0,2,1
U003365,3,2609.2,1662.98,433,2,2,0,0,1,0
U009645,2,3881.71,2156.73,196,2,2,0,0,1,0
U002344,1,486.86,486.86,251,2,2,0,0,0,0
U000339,1,94.95,94.95,567,3,2,0,1,2,0
U006302,3,925.65,498.17,539,3,2,0,1,3,0
U008678,2,721.02,508.26,263,3,2,1,0,1,0
U009177,1,19.08,19.08,451,3,2,0,1,1,0
U009086,1,1204.04,1204.04,704,3,2,0,0,1,0
U001364,1,18.47,18.47,703,3,2,0,0,1,0
U005383,2,66.88,36.78,326,3,2,0,0,1,0
U002464,1,794.88,794.88,219,3,2,0,1,1,0
U003623,1,70.46,70.46,492,3,2,0,0,1,0
U000936,2,274.93,160.96,253,3,2,1,0,1,0
U004802,1,283.47,283.47,391,3,2,0,1,2,0
U007474,1,398.93,398.93,325,3,2,0,0,1,1
U003032,2,299.21,149.61,400,3,2,1,0,1,0
U007150,2,2953.24,1473.63,463,3,2,1,0,2,0
U000899,1,224.76,224.76,599,3,2,1,0,0,0
U006640,1,1199.77,1199.77,468,3,2,1,0,0,0
U003760,1,379.96,379.96,496,3,2,1,0,0,0
U005890,1,238.26,238.26,403,3,2,0,1,0,0
U008406,1,119.08,119.08,771,3,2,1,0,0,0
U009770,1,104.27,104.27,464,3,2,0,0,2,0
U007180,1,395.19,395.19,679,3,2,1,0,0,0
U002086,1,215.62,215.62,524,3,2,0,0,1,0
U004857,1,17.5,17.5,785,3,2,1,0,0,0
U008323,1,163.19,163.19,400,3,2,0,1,1,0
U008320,1,53.16,53.16,799,3,2,1,0,2,1
U009461,1,10.29,10.29,698,3,2,0,1,1,0
U007856,1,53.18,53.18,299,3,2,0,1,1,0
U006915,1,638.8,638.8,426,3,2,0,0,1,0
U002806,1,133.04,133.04,551,3,2,1,0,0,0
U005447,1,669.28,669.28,270,3,2,1,0,0,0
U008092,3,2116.74,705.58,640,3,2,1,0,0,0
U008363,1,59.55,59.55,254,3,2,1,0,2,0
U004805,1,125.48,125.48,215,3,2,1,0,1,1
U004393,1,100.02,100.02,175,3,2,0,0,0,0
U001734,2,663.67,313.98,325,3,2,1,0,0,0
U007714,1,131.75,131.75,265,3,2,0,0,1,0
U003077,1,2838.11,2838.11,732,3,2,0,1,1,0
U006008,1,70.32,70.32,254,3,2,0,0,1,0
U000373,2,1345.1,672.55,571,3,2,1,0,2,0
U004544,1,1088.04,1088.04,184,3,2,0,0,0,0
U002575,2,988.7,625.61,315,3,2,0,1,2,0
U007387,2,1532.96,583.62,201,3,2,1,0,2,0
U004087,1,53.8,53.8,553,3,2,0,1,1,0
U002454,2,2067.69,858.68,386,3,2,1,0,1,0
U009128,1,67.1,67.1,821,3,2,0,0,1,0
U009519,1,488.59,488.59,202,3,2,1,0,1,1
U002556,1,417.49,417.49,488,3,2,1,0,1,0
U007256,1,57.18,57.18,185,3,2,0,0,1,0
U001432,2,1273.86,636.93,221,3,2,0,0,1,0
U003753,1,91.84,91.84,178,3,2,1,0,1,0
U005212,1,147.17,147.17,560,3,2,1,0,0,0
U007013,1,123.68,123.68,345,3,2,1,0,0,0
U008113,2,2151.72,1021.06,639,3,2,1,0,1,1
U004345,2,3659.7,2580.2,354,3,2,1,0,1,0
U003463,1,241.48,241.48,211,3,2,0,1,2,0
U001065,1,545.45,545.45,259,3,2,1,0,0,0
U001565,4,824.35,262.33,209,3,2,0,1,2,0
U002836,2,3285.57,2043.55,384,3,2,0,0,0,0
U004247,3,1239.87,574.79,287,3,2,1,0,1,0
U000417,3,1796.41,1062.82,295,4,2,1,0,1,0
U005893,1,1287.49,1287.49,837,4,2,2,0,2,1
U003700,1,700.04,700.04,581,4,2,0,1,3,1
U007080,3,1120.64,406.25,373,4,2,2,0,1,0
U001772,1,366.84,366.84,724,4,2,0,1,3,0
U009666,1,191.15,191.15,428,4,2,1,0,0,0
U009681,2,3908.82,2923.8,377,4,2,1,1,1,0
U009222,1,22.55,22.55,662,4,2,2,0,1,0
U004337,2,1821.39,910.69,498,4,2,1,1,1,0
U009188,2,638.03,436.8,396,4,2,1,1,1,0
U005777,1,1478.43,1478.43,172,4,2,1,1,1,0
U003677,1,1524.68,1524.68,318,4,2,1,0,1,0
U008765,1,1093.37,1093.37,223,4,2,2,0,0,0
U003527,1,495.63,495.63,197,4,2,1,1,1,0
U004996,2,160.96,80.48,263,4,2,1,0,3,0
U003586,1,2217.1,2217.1,505,4,2,2,0,1,0
U007996,2,448.1,235.78,548,4,2,2,0,0,0
U005863,4,846.11,199.04,400,4,2,1,0,1,0
U006222,3,2795.06,1095.28,285,4,2,0,1,1,0
U009049,3,290.48,113.91,325,4,2,1,0,0,0
U008197,2,1153.71,697.27,184,4,2,1,0,0,0
U009997,1,802.46,802.46,256,4,2,2,0,0,0
U006197,1,742.01,742.01,752,4,2,1,1,0,0
U003825,1,15.62,15.62,694,4,2,1,1,1,0
U008337,1,321.48,321.48,759,4,2,1,0,2,0
U002436,2,637.81,318.91,380,4,2,1,0,1,0
U002986,1,403.87,403.87,669,4,2,1,0,1,0
U001796,1,499.03,499.03,455,4,2,2,0,0,0
U004487,1,3542.54,3542.54,533,4,2,1,1,2,0
U003100,1,61.11,61.11,541,4,2,2,0,1,0
U009812,1,1253.26,1253.26,596,4,2,1,0,2,0
U003681,3,827.24,419.34,195,4,2,1,0,0,0
U000232,1,83.72,83.72,180,4,2,1,1,1,0
U001040,1,109.53,109.53,672,4,2,0,1,1,0
U006703,2,351.65,175.82,216,4,2,1,1,0,0
U006501,1,431.12,431.12,840,4,2,0,1,1,0
U000707,1,26.48,26.48,646,4,2,1,0,2,0
U008773,1,1718.01,1718.01,627,4,2,1,0,1,0
U003269,1,1477.91,1477.91,318,4,2,1,0,1,0
U000753,1,98.81,98.81,666,4,2,1,0,1,0
U005636,1,23.52,23.52,574,4,2,1,0,3,0
U008378,2,1516.31,758.16,409,4,2,2,0,2,0
U003946,1,833.09,833.09,285,4,2,1,0,0,0
U002641,2,1206.06,445.49,558,4,2,1,1,2,0
U009890,1,640.52,640.52,549,4,2,1,0,2,0
U000605,1,107.69,107.69,260,4,2,1,0,1,0
U007775,1,131.03,131.03,343,4,2,2,0,2,0
U002500,1,1217.83,1217.83,621,4,2,1,1,2,0
U008408,2,1188.18,643.79,428,4,2,1,0,1,0
U001363,1,311.96,311.96,218,4,2,1,1,3,0
U002915,3,3364.45,1966.2,312,4,2,1,0,1,0
U000391,1,539.69,539.69,235,4,2,0,0,1,0
U003793,1,319.11,319.11,614,4,2,0,1,0,0
U000642,2,103.18,58.35,360,4,2,1,1,1,0
U007500,1,36.2,36.2,834,4,2,1,0,2,0
U005521,1,167.52,167.52,327,4,2,1,0,1,0
U004176,1,212.46,212.46,510,4,2,1,1,2,0
U008233,1,51.46,51.46,609,4,2,0,1,0,0
U006914,1,918.87,918.87,840,4,2,0,0,2,1
U000844,2,2997.86,2370.3,363,4,2,1,1,1,0
U003749,1,1094.25,1094.25,778,4,2,0,0,1,0
U000922,1,4147.31,4147.31,601,4,2,1,0,3,0
U003156,1,91.4,91.4,239,4,2,1,1,2,0
U009856,3,1658.7,519.18,663,4,2,1,0,0,0
U005553,1,495.38,495.38,494,4,2,0,1,2,0
U006777,1,1540.29,1540.29,439,4,2,1,1,1,0
U008504,1,239.49,239.49,742,4,2,0,0,1,0
U009435,2,2799.7,1483.02,498,4,2,1,0,3,0
U004678,1,1878.32,1878.32,813,4,2,0,0,2,0
U001149,1,195.36,195.36,308,4,2,2,0,2,0
U002528,1,1522.12,1522.12,247,4,2,0,1,1,0
U003558,3,613.52,217.84,181,4,2,1,0,1,0
U007688,2,300.51,185.44,185,4,2,1,0,2,0
U008992,1,441.61,441.61,636,4,2,1,0,2,0
U009459,1,578.76,578.76,228,4,2,2,0,4,1
U006986,2,1568.97,751.72,500,4,2,1,0,1,0
U003553,1,111.61,111.61,621,4,2,1,1,1,0
U006531,2,3720,2443.87,513,4,2,1,0,2,1
U002782,1,231.84,231.84,750,4,2,0,1,0,0
U008442,1,135.6,135.6,452,4,2,1,0,0,0
U009211,1,624.52,624.52,241,4,2,0,0,1,0
U000385,1,50.2,50.2,832,4,2,2,0,2,0
U009557,2,1275.12,590.42,224,4,2,2,0,0,0
U007035,1,136.07,136.07,408,4,2,1,0,2,0
U008600,2,154.98,77.49,328,4,2,1,0,1,0
U000968,2,874.99,448.05,291,4,2,2,0,1,0
U001275,1,247.99,247.99,816,4,2,1,0,1,0
U000784,3,1863.71,510.72,340,4,2,1,0,0,0
U001343,1,435.87,435.87,828,5,2,1,0,2,0
U009583,1,523.48,523.48,175,5,2,2,0,0,0
U002089,1,1640.19,1640.19,584,5,2,2,0,4,0
U008352,1,255.97,255.97,421,5,2,2,0,3,0
U009904,2,1702.2,851.1,588,5,2,3,0,2,0
U005610,4,1401.54,467.19,280,5,2,2,1,3,0
U000909,2,345.6,167.19,273,5,2,1,0,0,0
U008799,1,651.7,651.7,173,5,2,0,1,0,0
U003456,1,21.38,21.38,337,5,2,2,0,1,0
U002012,3,4454.71,1684.01,229,5,2,2,0,1,0
U004375,4,2663.76,1044.78,227,5,2,1,1,3,0
U003016,1,78.35,78.35,582,5,2,1,1,2,0
U001373,1,827.98,827.98,235,5,2,0,2,1,0
U005071,1,95.46,95.46,789,5,2,2,1,4,0
U009659,1,323.73,323.73,674,5,2,1,1,3,0
U004501,2,1708.48,958.93,225,5,2,2,0,0,0
U009238,1,2042.32,2042.32,327,5,2,2,1,2,0
U006206,1,4826.25,4826.25,354,5,2,2,0,3,0
U008253,2,3984.76,1561.04,785,5,2,0,1,3,0
U007199,1,293.74,293.74,186,5,2,2,0,2,0
U001504,1,176.65,176.65,753,5,2,0,1,3,0
U007003,1,249.82,249.82,308,5,2,1,0,0,0
U005799,1,824.81,824.81,533,5,2,0,0,3,0
U002949,2,180.16,116.78,527,5,2,2,0,2,0
U004855,2,1538.7,924.8,429,5,2,0,0,1,0
U008870,1,1162.6,1162.6,441,5,2,0,1,2,0
U000081,1,443.18,443.18,658,5,2,2,1,1,0
U000589,1,142.9,142.9,554,5,2,2,0,2,0
U009285,2,377.72,188.86,235,5,2,1,1,1,0
U006290,1,238.47,238.47,231,5,2,1,0,1,0
U004662,2,130.16,76.83,460,5,2,2,0,1,0
U009776,1,81.54,81.54,250,5,2,0,2,3,1
U006126,1,33.93,33.93,836,5,2,1,1,2,0
U000394,2,1755.08,933.16,437,5,2,2,0,2,0
U008481,1,1072.76,1072.76,229,5,2,3,0,1,0
U003520,1,935.69,935.69,502,5,2,2,0,1,0
U000631,1,591.19,591.19,264,5,2,2,0,1,0
U006443,1,253.18,253.18,772,5,2,3,0,0,0
U005696,1,2811.77,2811.77,406,5,2,1,0,3,0
U002291,1,1120.82,1120.82,559,5,2,1,1,1,0
U002969,1,1057.51,1057.51,487,5,2,3,0,1,0
U004119,2,951.26,343.53,189,5,2,2,1,1,0
U005932,1,16.62,16.62,552,5,2,0,0,2,0
U003735,3,628.94,306.71,443,5,2,1,2,1,1
U000725,3,1114.76,302.07,221,5,2,2,1,2,0
U003146,1,1504.31,1504.31,435,5,2,1,2,2,0
U002126,1,527.09,527.09,759,5,2,1,1,0,0
U008302,1,697,697,736,5,2,3,0,2,0
U009988,1,165.03,165.03,243,5,2,2,1,2,0
U002400,1,1187.3,1187.3,461,5,2,2,0,2,0
U004613,3,3074.83,1393.32,259,6,2,2,1,4,0
U005927,1,484.84,484.84,701,6,2,2,0,2,0
U000318,1,2399.72,2399.72,223,6,2,1,1,3,0
U009532,1,120.46,120.46,706,6,2,3,0,1,0
U005984,2,1292.79,646.39,236,6,2,2,0,2,0
U000263,3,2717.74,1557.28,295,6,2,3,0,2,0
U009057,1,19.09,19.09,354,6,2,3,1,1,0
U009283,1,103.22,103.22,483,6,2,0,2,1,0
U000976,1,71.15,71.15,778,6,2,2,0,2,0
U006742,1,797.64,797.64,317,6,2,2,0,1,1
U007241,1,352.9,352.9,485,6,2,2,1,2,0
U008478,1,3.42,3.42,655,6,2,2,0,2,0
U009251,1,1297.98,1297.98,854,6,2,0,1,1,0
U002923,3,575.77,191.91,278,6,2,4,0,3,0
U003245,1,993.13,993.13,280,6,2,4,0,2,1
U002178,1,1193.38,1193.38,702,6,2,1,2,1,0
U009205,2,251.5,125.75,281,6,2,2,1,2,0
U001163,1,195.46,195.46,504,6,2,2,1,1,0
U009821,1,134.69,134.69,610,6,2,2,1,2,1
U002888,1,2190.79,2190.79,445,6,2,2,1,3,0
U009717,1,75.63,75.63,644,6,2,2,1,2,0
U004880,2,448.84,314.49,334,6,2,3,1,1,0
U003342,2,1818.17,1004.81,580,6,2,3,0,1,0
U001737,2,1017.01,551.92,533,6,2,1,1,0,0
U002724,1,13.13,13.13,188,6,2,3,1,1,0
U002428,1,361.55,361.55,677,6,2,0,1,2,0
U006048,2,437.05,237.67,498,6,2,3,0,1,1
U008254,1,1315.93,1315.93,178,6,2,2,0,2,0
U009192,2,782.97,390.13,555,6,2,3,0,3,0
U002080,2,853.77,639.43,349,6,2,2,1,2,0
U002924,2,186.92,93.46,667,6,2,2,0,2,0
U004644,1,903.01,903.01,731,6,2,2,1,0,0
U002698,1,208.75,208.75,713,6,2,0,2,1,0
U008565,2,3968.18,1960.59,441,7,2,3,1,1,0
U007801,1,52.06,52.06,211,7,2,0,1,3,0
U005627,2,458.99,338.46,198,7,2,4,0,1,0
U004697,1,10.35,10.35,358,7,2,3,1,2,0
U002745,1,355.04,355.04,492,7,2,4,1,1,0
U005704,2,656.72,328.36,394,7,2,3,1,1,0
U003786,1,95.15,95.15,449,7,2,3,0,2,0
U004242,1,1404.66,1404.66,502,7,2,3,1,2,0
U002040,1,142.05,142.05,353,7,2,3,1,3,0
U009737,1,2254.87,2254.87,468,7,2,3,2,1,0
U003370,1,914.16,914.16,503,7,2,1,2,1,0
U000503,1,80.66,80.66,832,7,2,2,1,2,0
U007051,1,569.72,569.72,720,7,2,1,2,2,0
U002370,1,392.25,392.25,406,7,2,3,0,3,0
U003808,1,1964.28,1964.28,298,7,2,3,2,1,0
U002721,2,2058.41,1350.95,476,7,2,4,0,3,1
U008974,1,835.25,835.25,677,7,2,2,2,3,0
U004153,1,919.57,919.57,209,7,2,1,0,0,0
U002315,3,508,215.62,433,7,2,3,0,2,0
U004679,1,196.4,196.4,809,7,2,1,2,2,1
U002587,1,689.26,689.26,527,7,2,1,2,2,0
U009794,1,50.01,50.01,740,7,2,3,1,2,0
U008739,1,288.71,288.71,314,8,2,3,1,2,0
U003514,1,1574.68,1574.68,628,8,2,3,1,0,0
U006894,1,61.9,61.9,582,8,2,3,1,2,0
U002194,1,1742.31,1742.31,212,8,2,4,1,2,0
U003353,1,291.14,291.14,420,8,2,2,1,1,0
U007783,1,32.73,32.73,362,9,2,2,2,1,0
U004044,1,1701.19,1701.19,665,9,2,3,1,3,0
U002882,2,66.4,32.09,430,9,2,5,1,3,0
U008002,1,85.14,85.14,629,9,2,3,0,3,0
U001897,1,1050.94,1050.94,815,9,2,6,0,1,0
U007215,1,923.09,923.09,829,3,3,0,0,2,0
U004557,1,175.43,175.43,249,3,3,0,0,1,0
U008591,1,119.52,119.52,611,3,3,0,0,1,0
U006017,1,543.39,543.39,743,3,3,0,0,0,0
U003263,1,18.76,18.76,203,3,3,0,0,1,0
U003079,2,1493.87,1221.07,363,3,3,0,0,1,0
U006465,1,250.41,250.41,755,3,3,0,0,0,0
U005840,1,37.4,37.4,274,3,3,0,0,1,0
U005581,2,935.27,352.57,719,3,3,0,0,1,0
U004968,1,1893.81,1893.81,307,3,3,0,0,2,1
U006608,2,586.04,312.21,500,3,3,0,0,0,0
U003884,1,628.05,628.05,181,3,3,0,0,0,0
U001128,2,249.2,124.6,569,3,3,0,0,1,0
U000676,1,535.95,535.95,408,3,3,0,0,1,0
U003893,1,535.01,535.01,436,3,3,0,0,1,0
U005330,2,3448.3,1872.14,195,3,3,0,0,2,0
U001204,2,356.89,178.44,670,3,3,0,0,2,0
U003538,1,270.85,270.85,264,3,3,0,0,1,0
U004933,1,43.13,43.13,786,3,3,0,0,1,0
U008090,1,81.17,81.17,449,3,3,0,0,1,0
U007583,1,44.33,44.33,623,3,3,0,0,3,1
U008646,2,1930.58,1504.07,634,3,3,0,0,1,0
U002298,2,586.49,314.43,220,3,3,0,0,2,1
U002869,1,329.39,329.39,421,3,3,0,0,1,0
U004001,1,2302.78,2302.78,698,3,3,0,0,1,0
U004310,1,179.52,179.52,822,3,3,0,0,2,0
U000758,2,3758.42,2964.95,221,3,3,0,0,1,0
U000536,1,311.21,311.21,739,3,3,0,0,2,0
U006810,1,1181.36,1181.36,567,3,3,0,0,1,0
U000196,2,956.47,524.98,437,3,3,0,0,2,1
U007206,2,1581.73,790.87,604,3,3,0,0,1,0
U009739,1,2247.18,2247.18,757,3,3,0,0,1,0
U003506,2,1643.1,814.2,505,3,3,0,0,0,0
U009262,1,184.4,184.4,598,3,3,0,0,1,0
U003400,2,901.6,383.87,370,3,3,0,0,0,0
U007873,1,188.48,188.48,656,3,3,0,0,0,0
U002697,1,31.17,31.17,472,3,3,0,0,2,1
U001383,4,1205.52,294.29,315,3,3,0,0,1,0
U003656,1,1483.46,1483.46,847,3,3,0,0,0,0
U006200,1,70.8,70.8,231,3,3,0,0,1,0
U005875,1,403.18,403.18,815,3,3,0,0,1,0
U005654,1,15.66,15.66,357,3,3,0,0,2,0
U000665,1,350.7,350.7,498,3,3,0,0,1,0
U006754,4,2862.16,854.13,416,3,3,0,0,0,0
